sku,excel_price,web_price,match
ORL-00006341,6.6,6.6,True
ORL-00006341,6.601,6.6,False
I-00000190608,15.0,15.0,True
I-00000190608,15.001,15.0,False
ORL-00006239,22.5,18.0,False
ORL-00006239,22.501,18.0,False
ORL-00004724,17.13,17.13,True
ORL-00004724,17.131,17.13,False
MU-00022119,8.5,8.5,True
MU-00022119,8.501,8.5,False
ORL-00003818,30.0,30.0,True
ORL-00003818,30.001,30.0,False
ORL-00007221,5.72,5.72,True
ORL-00007221,5.721,5.72,False
Conf-589239,12.75,12.75,True
Conf-589239,12.751,12.75,False
SC-00011934,11.7,11.7,True
SC-00011934,11.701,11.7,False
Conf-590088,11.25,11.25,True
Conf-590088,11.251,11.25,False
ORL-00007327,13.5,13.5,True
ORL-00007327,13.501,13.5,False
SC-00008133,2.75,2.75,True
SC-00008133,2.751,2.75,False
SC-00001356,7.25,7.25,True
SC-00001356,7.251,7.25,False
SC-00005791,2.2,2.2,True
SC-00005791,2.201,2.2,False
SC-00007393,12.25,12.25,True
SC-00007393,12.251,12.25,False
SC-00005794,2.28,2.28,True
SC-00005794,2.281,2.28,False
SC-00010545,1.1,1.1,True
SC-00010545,1.101,1.1,False
SC-00010568,7.3,7.3,True
SC-00010568,7.301,7.3,False
SC-00010556,4.95,4.95,True
SC-00010556,4.951,4.95,False
SC-00010553,4.95,4.95,True
SC-00010553,4.951,4.95,False
SC-00010571,8.25,8.25,True
SC-00010571,8.251,8.25,False
BAB-00002686,5.75,5.75,True
BAB-00002686,5.751,5.75,False
SC-00010569,7.3,7.3,True
SC-00010569,7.301,7.3,False
SC-00006436,14.17,14.17,True
SC-00006436,14.171,14.17,False
SC-00006888,18.2,18.2,True
SC-00006888,18.201,18.2,False
AC-00000268,1.65,1.65,True
AC-00000268,1.651,1.65,False
